Component,Price (USD),Quantity,Total (USD),BUY LINKS,LCSC Part NO.
ESP32-S3-WROOM-1U-N8,3.84,2,7.68,,C2980297
nRF24L01+ PA/LNA module,2,2,4,https://sharvielectronics.com/product/nrf24l01-sma-wireless-transceiver/,
MIC5219-3.3YM5 Regulator,0.28,5,1.4,,C5370977
Joysticks (XY axes),0.41,2,0.82,,"C37323739,C37323741"
Potentiometers,1.65,2,3.3,,C2687317
Toggle Switches,0.58,4,2.32,,C1788492
OLED Display (SSD1309),11.74,1,11.74,,C7466000
LiPo Battery (2000mAh),5.9,1,5.9,https://www.electronicscomp.com/3.7v-2000mah-lipo-battery-india,
passive components(resistor pinheaders etc),7,1,7,,"C2881685,C2935876,C513768,C412252,C7419947,C2935874,C41366842,C2881435,C46635842,C3013349"
Heat set inserts and antenna connector For case,3.847,1,3.847,"https://sharvielectronics.com/product/pigtail-antenna-cable-rg1-13-ipex-3-0-female-to-ipex-3-0-female-connector-15cm-length/, https://sharvielectronics.com/product/rpsma-male-connector-to-ufl-ipex-interface-cable-15cm/, https://sharvielectronics.com/product/m2x3-mm-brass-heat-set-threaded-round-insert-nut/ https://sharvielectronics.com/product/ufl-male-to-sma-female-pcb-breakout-board/",
PCB,4,1,4,,
shipping,,,18,,
,,,70.007,,
