Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C37323739,YF16-FL7.2-B5Ka(45-10)-R-A28,YTL,"Through Hole-10P,20.3x19.8mm",,"Through Hole-10P,20.3x19.8mm Navigation Switches, Joystick ROHS",yes,1,1,1,0.4075,0.41,https://lcsc.com/product-detail/navigation-switches-joystick_ytl-yf16-fl7-2-b5ka-45-10-r-a28_C37323739.html
2,C37323741,YF16-DFL7.2-B5Ko(45-10)B5Ko(55)-RG-A22,YTL,"Through Hole-10P,20.3x19.8mm",,"Through Hole-10P,20.3x19.8mm Navigation Switches, Joystick ROHS",yes,1,1,1,0.4408,0.44,https://lcsc.com/product-detail/navigation-switches-joystick_ytl-yf16-dfl7-2-b5ko-45-10-b5ko-55-rg-a22_C37323741.html
3,C7466000,HS242L03B2C01,HS,-,,SSD1309 I2C 2.42 OLED Display ROHS,yes,1,1,1,11.7433,11.74,https://lcsc.com/product-detail/oled-display_hs-hs242l03b2c01_C7466000.html
4,C2980297,ESP32-S3-WROOM-1U-N8,Espressif Systems,"SMD,18x19.2mm",,"SMD,18x19.2mm WiFi Modules ROHS",yes,2,1,1,3.8472,7.69,https://lcsc.com/product-detail/wifi-modules_espressif-systems-esp32-s3-wroom-1u-n8_C2980297.html
5,C2687317,RK0971110Z4L,ALPSALPINE,Through Hole,,"±20% 50mW 10kΩ Through Hole Potentiometers, Variable Resistors ROHS",yes,2,1,1,1.6566,3.31,https://lcsc.com/product-detail/potentiometers-variable-resistors_alpsalpine-rk0971110z4l_C2687317.html
6,C1788492,MT-0-102-A101-M200-RS,YUEN FUNG,Through Hole,,125V SPDT Through Hole 5A Through Hole Toggle Switches ROHS,yes,4,1,1,0.5816,2.33,https://lcsc.com/product-detail/toggle-switches_yuen-fung-mt-0-102-a101-m200-rs_C1788492.html
7,C5370977,TPMIC5219-3.3YM5,TECH PUBLIC,SOT-23-5,,"70dB@(1kHz) 500mA Fixed 3.3V Positive 20V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,5,5,5,0.2828,1.41,https://lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_tech-public-tpmic5219-3-3ym5_C5370977.html
8,C2881685,X1311WV-40J-C18D27,XKB Connection,"Through Hole,P=1.27mm",,"Gold 250V 1A Pin Header 1mm 40P -40℃~+105℃ 1.27mm 1 Black Brass 1.27mm 1x40P Through Hole,P=1.27mm Pin Headers ROHS",yes,1,1,1,0.7333,0.73,https://lcsc.com/product-detail/pin-headers_xkb-connection-x1311wv-40j-c18d27_C2881685.html
9,C2935876,DW127R-11-06-34,DEALON,"Through Hole,P=1.27mm",,"1.27mm 1 1A 6P Through Hole 1x6P 3.4mm Top Square Hole Through Hole,P=1.27mm Female Headers ROHS",yes,5,5,5,0.0865,0.43,https://lcsc.com/product-detail/female-headers_dealon-dw127r-11-06-34_C2935876.html
10,C2935874,DW127R-11-04-34,DEALON,"Through Hole,P=1.27mm",,"1.27mm 1 1A 4P Through Hole 1x4P 3.4mm Top Square Hole Through Hole,P=1.27mm Female Headers ROHS",yes,10,10,10,0.0677,0.68,https://lcsc.com/product-detail/female-headers_dealon-dw127r-11-04-34_C2935874.html
11,C41366842,B127UP-ZD02P,BXCONN,"Through Hole,P=1.27mm",,"1.27mm 1 1A -40℃~+105℃ 2P Through Hole 1x2P Top 4.3mm Square Hole Through Hole,P=1.27mm Female Headers ROHS",yes,5,5,5,0.0615,0.31,https://lcsc.com/product-detail/female-headers_bxconn-b127up-zd02p_C41366842.html
12,C2881435,X1311FV-03-C43D24,XKB Connection,"Through Hole,P=1.27mm",,"1.27mm 1 Gold 1A 3P Brass -40℃~+105℃ 250V Through Hole 1x3P 4.3mm Top Square Hole Through Hole,P=1.27mm Female Headers ROHS",yes,5,5,5,0.1371,0.69,https://lcsc.com/product-detail/female-headers_xkb-connection-x1311fv-03-c43d24_C2881435.html
13,C46635842,HX PM2.54-1x6P TP H8.5-YQ,hanxia,"SMD,P=2.54mm(Staggered Pins)",,"2.54mm 3A 1 Gold 6P -40℃~+105℃ Brass Surface Mount,Vertical 1x6P 8.5mm Top Square Hole SMD,P=2.54mm(Staggered Pins) Female Headers ROHS",yes,6,6,6,0.1195,0.72,https://lcsc.com/product-detail/female-headers_hanxia-hx-pm2-54-1x6p-tp-h8-5-yq_C46635842.html
14,C3013349,FRL0603FR470TS,FOJAN,603,,100mW Thick Film Resistor 100V ±300ppm/℃ ±1% 470mΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0033,0.33,https://lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frl0603fr470ts_C3013349.html
